ID,Race,Gender,Age,Ethnicity,District,Division,Bureau,Event Date/Time
2,Black/African American,Male,59,NON-HISPANIC,6,GPD,,07/18/2022 05:49:05 PM
4,Black/African American,Male,48,NON-HISPANIC,2,2D,PSB,05/19/2022 08:59:37 PM
1,Asian,Male,31,NON-HISPANIC,2,2D,PSB,03/01/2022 11:56:58 PM
6,Black/African American,Male,40,NON-HISPANIC,4,4D,PSB,10/06/2022 09:00:00 PM
3,White,Male,47,NON-HISPANIC,4,4D,PSB,12/09/2022 08:53:57 AM
136,White,Male,16,HISPANIC,4,4D,PSB,09/16/2022 08:34:26 AM
5,White,Male,38,HISPANIC,4,4D,PSB,02/16/2022 11:40:22 AM
55,Black/African American,Male,29,NON-HISPANIC,3,3D,PSB,04/07/2022 09:14:52 PM
115,White,Female,25,HISPANIC,6,GPD,,04/20/2022 07:39:45 AM
10,Black/African American,Male,33,NON-HISPANIC,4,4D,PSB,02/25/2022 11:06:23 AM
92,Black/African American,Male,34,NON-HISPANIC,1,1D,PSB,02/27/2022 08:06:19 PM
65,White,Male,25,NON-HISPANIC,1,1D,PSB,11/22/2022 08:45:08 PM
149,White,Male,20,HISPANIC,4,4D,PSB,11/01/2022 02:40:24 PM
54,Black/African American,Male,30,NON-HISPANIC,3,3D,PSB,02/18/2022 07:54:00 PM
116,White,Male,19,NON-HISPANIC,6,1D,PSB,04/27/2022 10:55:00 PM
152,Black/African American,Male,18,NON-HISPANIC,3,3D,PSB,11/18/2022 07:27:13 AM
12,Black/African American,Male,31,NON-HISPANIC,4,4D,PSB,04/07/2022 05:45:09 PM
165,Black/African American,Male,24,NON-HISPANIC,1,RCPD,,03/01/2023 01:39:39 AM
80,Unknown,Male,20,NON-HISPANIC,6,6D,PSB,05/25/2023 10:15:00 PM
106,Black/African American,Male,30,NON-HISPANIC,3,3D,PSB,03/25/2022 08:19:43 PM
52,White,Male,27,HISPANIC,2,2D,PSB,05/01/2022 10:41:00 PM
43,White,Male,25,HISPANIC,4,4D,PSB,09/27/2022 04:45:03 PM
145,Black/African American,Male,19,NON-HISPANIC,5,5D,PSB,10/27/2022 09:42:00 PM
105,Black/African American,Male,20,NON-HISPANIC,5,5D,PSB,04/21/2023 06:45:00 PM
124,Black/African American,Male,25,NON-HISPANIC,5,5D,PSB,06/01/2022 03:18:12 AM
76,Unknown,Male,20,HISPANIC,4,4D,PSB,04/14/2022 12:33:53 AM
120,Black/African American,Male,19,NON-HISPANIC,3,3D,PSB,05/11/2022 02:17:18 PM
73,Black/African American,Male,16,NON-HISPANIC,3,CED,FSB,03/16/2022 10:15:00 AM
138,White,Female,15,HISPANIC,4,4D,PSB,09/16/2022 08:34:26 AM
62,White,Male,24,HISPANIC,4,4D,PSB,06/02/2022 06:43:48 AM
142,White,Male,24,HISPANIC,4,4D,PSB,09/27/2022 04:45:03 PM
140,Black/African American,Male,43,NON-HISPANIC,2,2D,PSB,09/26/2022 04:05:34 AM
15,White,Male,28,HISPANIC,5,5D,PSB,03/26/2022 01:48:47 AM
134,White,Male,22,HISPANIC,3,3D,PSB,09/11/2022 12:24:20 AM
143,White,Male,22,HISPANIC,4,4D,PSB,09/28/2022 07:35:00 AM
14,White,Male,32,HISPANIC,6,6D,PSB,07/10/2022 11:15:59 PM
97,Black/African American,Male,21,HISPANIC,4,4D,PSB,03/13/2022 04:19:50 PM
64,Black/African American,Male,20,NON-HISPANIC,6,GPD,,02/18/2022 10:15:00 PM
96,Black/African American,Male,23,HISPANIC,4,4D,PSB,03/13/2022 04:19:50 PM
69,Black/African American,Male,20,NON-HISPANIC,1,GPD,,12/13/2022 08:36:42 PM
119,White,Male,24,HISPANIC,4,4D,PSB,05/02/2022 11:14:33 PM
94,Black/African American,Male,27,NON-HISPANIC,3,3D,PSB,02/25/2022 01:09:00 PM
63,White,Male,19,NON-HISPANIC,5,5D,PSB,01/20/2023 08:29:00 PM
67,White,Male,17,HISPANIC,4,4D,PSB,04/08/2022 06:54:14 PM
51,White,Male,21,NON-HISPANIC,5,5D,PSB,04/07/2022 06:39:47 PM
8,White,Male,41,HISPANIC,,6D,PSB,05/25/2022 08:43:56 PM
141,Black/African American,Male,17,NON-HISPANIC,4,4D,PSB,09/26/2022 06:53:13 PM
112,White,Female,16,HISPANIC,4,4D,PSB,04/08/2022 06:54:14 PM
159,Black/African American,Male,23,NON-HISPANIC,2,2D,PSB,12/23/2022 07:02:00 PM
89,Black/African American,Female,30,NON-HISPANIC,3,3D,PSB,02/18/2022 07:54:00 PM
129,Black/African American,Male,24,NON-HISPANIC,4,4D,PSB,07/09/2022 10:25:22 PM
95,Black/African American,Male,32,NON-HISPANIC,3,3D,PSB,03/03/2022 02:20:41 AM
151,Black/African American,Male,19,NON-HISPANIC,3,3D,PSB,11/18/2022 07:27:13 AM
103,White,Male,17,HISPANIC,4,4D,PSB,09/16/2022 08:34:26 AM
47,Black/African American,Male,25,NON-HISPANIC,5,5D,PSB,11/02/2022 09:47:55 PM
166,Black/African American,Male,26,NON-HISPANIC,5,5D,PSB,04/20/2023 11:19:00 PM
110,Black/African American,Female,34,NON-HISPANIC,3,3D,PSB,04/07/2022 09:14:52 PM
122,White,Male,19,HISPANIC,4,4D,PSB,05/14/2022 12:15:00 AM
154,White,Male,28,HISPANIC,3,3D,PSB,11/26/2022 11:24:12 PM
85,Asian,Male,00,NON-HISPANIC,5,CED,FSB,03/21/2022 02:00:00 PM
66,White,Male,20,HISPANIC,6,6D,PSB,05/25/2023 10:15:00 PM
70,White,Male,22,HISPANIC,4,4D,PSB,12/09/2022 05:16:27 PM
68,White,Male,18,HISPANIC,4,4D,PSB,01/26/2023 10:48:28 AM
164,Black/African American,Male,33,NON-HISPANIC,4,4D,PSB,01/27/2023 09:23:13 AM
114,Black/African American,Male,21,NON-HISPANIC,4,4D,PSB,07/10/2022 07:21:08 PM
102,White,Female,36,HISPANIC,4,4D,PSB,03/17/2022 08:54:32 PM
158,White,Male,23,NON-HISPANIC,4,4D,PSB,12/09/2022 05:16:27 PM
91,Black/African American,Female,22,NON-HISPANIC,3,3D,PSB,02/25/2022 10:57:00 PM
90,Black/African American,Male,34,NON-HISPANIC,2,2D,PSB,02/22/2022 09:20:00 PM
157,White,Male,61,HISPANIC,4,4D,PSB,12/09/2022 08:53:57 AM
155,White,Male,17,HISPANIC,3,3D,PSB,12/01/2022 05:13:26 PM
128,Black/African American,Male,23,NON-HISPANIC,4,4D,PSB,07/06/2022 04:35:46 PM
57,White,Male,19,NON-HISPANIC,5,5D,PSB,05/10/2022 06:09:05 PM
121,Black/African American,Male,25,NON-HISPANIC,4,4D,PSB,05/12/2022 12:15:20 AM
101,White,Female,16,HISPANIC,4,4D,PSB,03/17/2022 08:54:32 PM
59,White,Male,16,HISPANIC,4,4D,PSB,04/08/2022 06:54:14 PM
137,White,Male,16,HISPANIC,4,4D,PSB,09/16/2022 08:34:26 AM
53,White,Male,24,NON-HISPANIC,4,4D,PSB,03/24/2022 03:22:15 PM
77,White,Male,16,HISPANIC,4,4D,PSB,09/16/2022 08:34:26 AM
130,White,Male,20,NON-HISPANIC,4,4D,PSB,07/20/2022 04:25:00 PM
50,White,Male,31,HISPANIC,2,2D,PSB,01/06/2023 10:48:00 PM
71,Black/African American,Male,40,NON-HISPANIC,3,3D,PSB,03/04/2022 10:54:07 PM
56,Black/African American,Male,21,NON-HISPANIC,3,3D,PSB,05/11/2022 02:17:18 PM
135,White,Male,15,HISPANIC,4,4D,PSB,09/16/2022 08:34:26 AM
74,Black/African American,Male,21,NON-HISPANIC,3,3D,PSB,02/25/2022 10:57:00 PM
131,Black/African American,Male,21,NON-HISPANIC,6,6D,PSB,07/27/2022 04:00:00 PM
161,Black/African American,Male,18,NON-HISPANIC,5,5D,PSB,01/20/2023 08:29:00 PM
132,Black/African American,Male,19,NON-HISPANIC,4,4D,PSB,09/26/2022 06:53:13 PM
126,Black/African American,Male,34,NON-HISPANIC,5,5D,PSB,06/29/2022 10:43:20 PM
150,White,Male,23,HISPANIC,4,4D,PSB,11/01/2022 02:40:24 PM
46,Black/African American,Male,31,NON-HISPANIC,5,5D,PSB,04/20/2023 11:19:00 PM
81,Black/African American,Male,27,NON-HISPANIC,4,4D,PSB,11/01/2022 02:40:24 PM
168,Black/African American,Male,21,NON-HISPANIC,6,6D,PSB,05/25/2023 10:15:00 PM
125,Black/African American,Male,27,NON-HISPANIC,4,4D,PSB,09/27/2022 04:45:03 PM
160,Black/African American,Male,14,NON-HISPANIC,3,CED,FSB,01/19/2023 10:17:00 AM
127,Black/African American,Female,21,NON-HISPANIC,5,5D,PSB,06/29/2022 10:43:20 PM
7,Black/African American,Male,36,NON-HISPANIC,4,4D,PSB,05/17/2022 01:25:26 AM
13,White,Male,33,HISPANIC,4,4D,PSB,02/25/2022 01:01:00 PM
169,White,Male,00,HISPANIC,6,6D,PSB,05/25/2023 10:15:00 PM
133,Black/African American,Male,38,NON-HISPANIC,4,4D,PSB,09/09/2022 08:03:56 AM
109,Black/African American,Male,20,NON-HISPANIC,4,4D,PSB,04/04/2022 07:43:00 PM
144,Black/African American,Male,24,NON-HISPANIC,6,5D,PSB,10/05/2022 10:34:00 PM
78,White,Male,18,NON-HISPANIC,5,5D,PSB,05/10/2022 06:09:05 PM
148,White,Male,20,NON-HISPANIC,4,4D,PSB,11/02/2022 05:30:00 PM
9,White,Male,28,HISPANIC,6,6D,PSB,07/10/2022 11:15:59 PM
48,Black/African American,Male,21,NON-HISPANIC,4,4D,PSB,12/01/2022 03:30:00 PM
113,White,Male,20,HISPANIC,5,5D,PSB,05/04/2023 01:45:11 AM
104,White,Male,00,HISPANIC,5,CED,FSB,03/21/2022 11:00:00 AM
163,Black/African American,Female,41,NON-HISPANIC,5,5D,PSB,01/24/2023 08:10:00 PM
146,White,Male,30,NON-HISPANIC,4,4D,PSB,10/28/2022 09:38:00 PM
83,Black/African American,Male,56,NON-HISPANIC,3,CED,FSB,03/16/2022 10:15:00 AM
87,White,Male,23,HISPANIC,3,4D,PSB,02/21/2022 08:50:00 PM
49,Black/African American,Female,37,NON-HISPANIC,4,4D,PSB,10/06/2022 09:00:00 PM
107,Black/African American,Male,24,NON-HISPANIC,3,3D,PSB,03/29/2022 10:53:53 AM
75,Black/African American,Female,33,NON-HISPANIC,3,CED,FSB,01/19/2023 10:17:00 AM
162,Black/African American,Male,42,NON-HISPANIC,5,5D,PSB,01/24/2023 08:10:00 PM
167,Black/African American,Male,45,NON-HISPANIC,4,4D,PSB,05/10/2023 11:47:54 AM
11,Black/African American,Male,31,NON-HISPANIC,3,3D,PSB,02/25/2022 01:09:00 PM
98,Black/African American,Male,24,NON-HISPANIC,4,4D,PSB,03/14/2022 02:35:00 AM
79,Black/African American,Male,18,NON-HISPANIC,6,TOD,FSB,08/12/2022 12:01:00 AM
100,White,Male,20,NON-HISPANIC,4,4D,PSB,03/16/2022 07:00:44 AM
82,White,Female,48,HISPANIC,6,GPD,,04/20/2022 07:39:45 AM
60,Black/African American,Male,00,NON-HISPANIC,5,CED,FSB,03/21/2022 11:00:00 AM
118,White,Male,19,NON-HISPANIC,6,1D,PSB,04/27/2022 10:55:00 PM
93,Black/African American,Male,25,NON-HISPANIC,3,3D,PSB,02/25/2022 01:09:00 PM
88,Black/African American,Male,24,NON-HISPANIC,3,3D,PSB,02/21/2022 04:40:00 PM
45,White,Female,16,HISPANIC,4,4D,PSB,04/08/2022 06:54:14 PM
139,White,Male,18,NON-HISPANIC,4,4D,PSB,09/17/2022 04:37:40 PM
86,White,Male,00,HISPANIC,5,CED,FSB,03/21/2022 11:00:00 AM
170,White,Male,22,HISPANIC,2,2D,PSB,03/14/2024 12:10:02 PM
72,White,Male,19,HISPANIC,6,GPD,,07/18/2022 05:49:05 PM
111,White,Female,20,HISPANIC,5,5D,PSB,04/07/2022 06:39:47 PM
58,Black/African American,Male,26,NON-HISPANIC,6,5D,PSB,10/05/2022 10:34:00 PM
153,White,Male,00,HISPANIC,3,3D,PSB,11/26/2022 11:24:12 PM
84,White,Female,41,NON-HISPANIC,5,CED,FSB,03/21/2022 11:00:00 AM
117,White,Male,27,HISPANIC,6,1D,PSB,04/27/2022 10:55:00 PM
156,White,Female,61,NON-HISPANIC,3,3D,PSB,12/01/2022 05:13:26 PM
108,White,Female,15,HISPANIC,4,4D,PSB,09/16/2022 08:34:26 AM
123,White,Female,19,NON-HISPANIC,5,5D,PSB,09/13/2022 08:54:29 PM
44,Black/African American,Male,26,NON-HISPANIC,3,3D,PSB,02/25/2022 01:09:00 PM
147,White,Male,17,NON-HISPANIC,4,4D,PSB,10/28/2022 09:38:00 PM
61,Black/African American,Male,24,NON-HISPANIC,3,3D,PSB,07/30/2022 05:50:48 PM
99,Unknown,Male,17,HISPANIC,5,CED,FSB,03/21/2022 11:00:00 AM
21,Black/African American,Male,51,NON-HISPANIC,3,CED,FSB,03/16/2022 10:15:00 AM
23,Black/African American,Female,19,NON-HISPANIC,4,4D,PSB,10/28/2022 08:48:35 PM
41,Black/African American,Male,34,NON-HISPANIC,5,5D,PSB,01/19/2023 10:13:00 PM
24,White,Female,20,HISPANIC,6,GPD,,04/20/2022 07:39:45 AM
42,White,Male,20,NON-HISPANIC,8,TPPD,,05/03/2022 05:10:48 PM
32,Black/African American,Male,54,NON-HISPANIC,3,CED,FSB,03/16/2022 10:15:00 AM
40,Black/African American,Male,25,NON-HISPANIC,6,1D,PSB,06/29/2022 09:19:14 PM
18,White,Male,24,NON-HISPANIC,4,4D,PSB,10/28/2022 09:38:00 PM
36,White,Male,29,HISPANIC,6,GPD,,04/26/2022 10:38:05 PM
26,White,Male,25,HISPANIC,4,4D,PSB,10/22/2022 12:05:00 AM
35,Black/African American,Male,24,NON-HISPANIC,1,GPD,,12/13/2022 08:36:42 PM
17,Black/African American,Male,32,NON-HISPANIC,3,3D,PSB,02/19/2022 02:59:00 PM
19,Black/African American,Male,29,NON-HISPANIC,3,3D,PSB,05/30/2022 12:07:59 AM
39,White,Male,62,HISPANIC,4,4D,PSB,11/02/2022 05:30:00 PM
38,Black/African American,Male,22,NON-HISPANIC,3,3D,PSB,12/14/2022 02:00:00 AM
