ID,Race,Gender,Age,Ethnicity,District,Division,Bureau,EventDateTime
1,White,Male,38,NON-HISPANIC,4,4D,PSB,2022-12-26 11:56:01
21,White,Male,27,NON-HISPANIC,4,4D,PSB,2023-09-26 13:15:17
33,Black/African American,Female,14,NON-HISPANIC,5,5D,PSB,2023-10-13 08:11:58
23,White,Male,19,NON-HISPANIC,2,2D,PSB,2024-05-22 18:18:42
6,Black/African American,Male,14,NON-HISPANIC,3,3D,PSB,2023-08-30 19:24:49
18,White,Male,28,HISPANIC,4,4D,PSB,2023-09-26 13:15:17
38,White,Male,22,NON-HISPANIC,5,5D,PSB,2024-05-16 22:56:00
42,Black/African American,Male,25,NON-HISPANIC,2,2D,PSB,2024-08-29 13:48:00
12,Black/African American,Male,25,NON-HISPANIC,5,5D,PSB,2022-11-02 21:47:55
31,White,Male,21,HISPANIC,4,4D,PSB,2023-09-26 13:15:17
14,White,Male,32,HISPANIC,4,4D,PSB,2024-06-01 16:42:29
2,White,Female,57,HISPANIC,2,2D,PSB,2024-08-28 18:40:00
35,Unknown,Male,0,NON-HISPANIC,4,4D,PSB,2024-03-15 08:00:00
27,Black/African American,Male,17,NON-HISPANIC,2,2D,PSB,2024-05-22 18:18:42
34,Asian,Male,34,NON-HISPANIC,2,2D,PSB,2024-03-05 18:09:24
40,White,Male,23,HISPANIC,4,4D,PSB,2024-06-14 16:26:52
22,White,Male,31,HISPANIC,4,4D,PSB,2023-10-10 16:00:00
17,Black/African American,Male,25,NON-HISPANIC,3,3D,PSB,2024-07-17 20:23:00
30,White,Male,47,NON-HISPANIC,4,4D,PSB,2023-10-10 16:00:00
10,Black/African American,Male,29,NON-HISPANIC,5,5D,PSB,2024-05-16 22:56:00
4,White,Male,41,HISPANIC,2,2D,PSB,2024-07-26 20:24:00
28,Black/African American,Female,13,HISPANIC,6,CED,FSB,2022-11-16 12:26:06
37,Asian,Male,32,NON-HISPANIC,2,2D,PSB,2024-08-09 18:49:35
9,Black/African American,Male,25,NON-HISPANIC,4,4D,PSB,2022-08-26 19:21:59
24,Black/African American,Male,14,NON-HISPANIC,5,CED,FSB,2022-11-09 11:09:00
3,Black/African American,Male,61,NON-HISPANIC,2,2D,PSB,2024-08-28 18:40:00
11,Black/African American,Male,19,NON-HISPANIC,4,4D,PSB,2022-08-26 19:21:59
26,White,Male,20,HISPANIC,4,4D,PSB,2022-08-03 15:11:12
39,Black/African American,Female,33,NON-HISPANIC,2,2D,PSB,2024-05-28 20:00:17
8,White,Female,26,HISPANIC,2,2D,PSB,2023-11-07 18:28:17
15,Black/African American,Female,14,NON-HISPANIC,5,5D,PSB,2023-10-13 08:11:58
36,Black/African American,Male,30,NON-HISPANIC,2,2D,PSB,2024-04-03 18:29:04
7,White,Male,37,HISPANIC,6,GPD,,2023-08-23 14:50:28
32,White,Male,30,NON-HISPANIC,2,2D,PSB,2024-06-19 19:52:08
41,White,Male,41,NON-HISPANIC,2,2D,PSB,2024-08-02 20:23:51
16,Asian,Female,24,NON-HISPANIC,2,2D,PSB,2024-05-23 19:24:59
13,White,Male,50,HISPANIC,4,4D,PSB,2022-04-08 19:43:02
5,White,Male,40,HISPANIC,6,GPD,,2023-08-23 14:50:28
19,White,Female,16,NON-HISPANIC,1,1D,PSB,2022-06-06 21:36:07
25,Black/African American,Male,35,NON-HISPANIC,4,4D,PSB,2022-06-16 17:00:00
29,White,Male,27,HISPANIC,6,GPD,,2023-08-23 14:50:28
20,Black/African American,Male,21,NON-HISPANIC,3,3D,PSB,2023-08-30 19:24:49
